"date","city","study_permit_inflow_proxy","source"
2017-12-01,"Kitchener-Cambridge-Waterloo",935,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-01-01,"Kitchener-Cambridge-Waterloo",445,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-02-01,"Kitchener-Cambridge-Waterloo",265,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-03-01,"Kitchener-Cambridge-Waterloo",405,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-04-01,"Kitchener-Cambridge-Waterloo",1220,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-05-01,"Kitchener-Cambridge-Waterloo",600,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-06-01,"Kitchener-Cambridge-Waterloo",975,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-07-01,"Kitchener-Cambridge-Waterloo",840,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-08-01,"Kitchener-Cambridge-Waterloo",3000,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-09-01,"Kitchener-Cambridge-Waterloo",1190,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-10-01,"Kitchener-Cambridge-Waterloo",375,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-11-01,"Kitchener-Cambridge-Waterloo",690,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-12-01,"Kitchener-Cambridge-Waterloo",1430,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-01-01,"Kitchener-Cambridge-Waterloo",510,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-02-01,"Kitchener-Cambridge-Waterloo",510,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-03-01,"Kitchener-Cambridge-Waterloo",540,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-04-01,"Kitchener-Cambridge-Waterloo",1475,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-05-01,"Kitchener-Cambridge-Waterloo",890,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-06-01,"Kitchener-Cambridge-Waterloo",695,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-07-01,"Kitchener-Cambridge-Waterloo",985,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-08-01,"Kitchener-Cambridge-Waterloo",4670,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-09-01,"Kitchener-Cambridge-Waterloo",1060,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-10-01,"Kitchener-Cambridge-Waterloo",340,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-11-01,"Kitchener-Cambridge-Waterloo",300,"student_permits_city_proxy_2015_2025_monthly.csv"
2019-12-01,"Kitchener-Cambridge-Waterloo",2100,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-01-01,"Kitchener-Cambridge-Waterloo",745,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-02-01,"Kitchener-Cambridge-Waterloo",255,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-03-01,"Kitchener-Cambridge-Waterloo",220,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-04-01,"Kitchener-Cambridge-Waterloo",640,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-05-01,"Kitchener-Cambridge-Waterloo",1090,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-06-01,"Kitchener-Cambridge-Waterloo",680,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-07-01,"Kitchener-Cambridge-Waterloo",470,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-08-01,"Kitchener-Cambridge-Waterloo",1630,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-09-01,"Kitchener-Cambridge-Waterloo",1745,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-10-01,"Kitchener-Cambridge-Waterloo",395,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-11-01,"Kitchener-Cambridge-Waterloo",415,"student_permits_city_proxy_2015_2025_monthly.csv"
2020-12-01,"Kitchener-Cambridge-Waterloo",700,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-01-01,"Kitchener-Cambridge-Waterloo",935,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-02-01,"Kitchener-Cambridge-Waterloo",650,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-03-01,"Kitchener-Cambridge-Waterloo",945,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-04-01,"Kitchener-Cambridge-Waterloo",1265,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-05-01,"Kitchener-Cambridge-Waterloo",810,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-06-01,"Kitchener-Cambridge-Waterloo",1260,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-07-01,"Kitchener-Cambridge-Waterloo",1835,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-08-01,"Kitchener-Cambridge-Waterloo",3825,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-09-01,"Kitchener-Cambridge-Waterloo",3585,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-10-01,"Kitchener-Cambridge-Waterloo",1215,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-11-01,"Kitchener-Cambridge-Waterloo",710,"student_permits_city_proxy_2015_2025_monthly.csv"
2021-12-01,"Kitchener-Cambridge-Waterloo",2125,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-01-01,"Kitchener-Cambridge-Waterloo",1155,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-02-01,"Kitchener-Cambridge-Waterloo",1075,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-03-01,"Kitchener-Cambridge-Waterloo",1110,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-04-01,"Kitchener-Cambridge-Waterloo",1860,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-05-01,"Kitchener-Cambridge-Waterloo",1790,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-06-01,"Kitchener-Cambridge-Waterloo",1435,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-07-01,"Kitchener-Cambridge-Waterloo",1310,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-08-01,"Kitchener-Cambridge-Waterloo",4665,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-09-01,"Kitchener-Cambridge-Waterloo",3165,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-10-01,"Kitchener-Cambridge-Waterloo",1210,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-11-01,"Kitchener-Cambridge-Waterloo",845,"student_permits_city_proxy_2015_2025_monthly.csv"
2022-12-01,"Kitchener-Cambridge-Waterloo",6520,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-01-01,"Kitchener-Cambridge-Waterloo",1795,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-02-01,"Kitchener-Cambridge-Waterloo",765,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-03-01,"Kitchener-Cambridge-Waterloo",825,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-04-01,"Kitchener-Cambridge-Waterloo",5930,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-05-01,"Kitchener-Cambridge-Waterloo",2655,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-06-01,"Kitchener-Cambridge-Waterloo",1040,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-07-01,"Kitchener-Cambridge-Waterloo",1920,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-08-01,"Kitchener-Cambridge-Waterloo",11380,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-09-01,"Kitchener-Cambridge-Waterloo",2875,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-10-01,"Kitchener-Cambridge-Waterloo",635,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-11-01,"Kitchener-Cambridge-Waterloo",940,"student_permits_city_proxy_2015_2025_monthly.csv"
2023-12-01,"Kitchener-Cambridge-Waterloo",7160,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-01-01,"Kitchener-Cambridge-Waterloo",2025,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-02-01,"Kitchener-Cambridge-Waterloo",940,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-03-01,"Kitchener-Cambridge-Waterloo",1455,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-04-01,"Kitchener-Cambridge-Waterloo",3435,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-05-01,"Kitchener-Cambridge-Waterloo",1050,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-06-01,"Kitchener-Cambridge-Waterloo",925,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-07-01,"Kitchener-Cambridge-Waterloo",1215,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-08-01,"Kitchener-Cambridge-Waterloo",4320,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-09-01,"Kitchener-Cambridge-Waterloo",1835,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-10-01,"Kitchener-Cambridge-Waterloo",1160,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-11-01,"Kitchener-Cambridge-Waterloo",1250,"student_permits_city_proxy_2015_2025_monthly.csv"
2024-12-01,"Kitchener-Cambridge-Waterloo",2685,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-01-01,"London",235,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-02-01,"London",220,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-03-01,"London",210,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-04-01,"London",350,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-05-01,"London",345,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-06-01,"London",410,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-07-01,"London",275,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-08-01,"London",1295,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-09-01,"London",795,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-10-01,"London",175,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-11-01,"London",285,"student_permits_city_proxy_2015_2025_monthly.csv"
2016-12-01,"London",1100,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-01-01,"London",190,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-02-01,"London",120,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-03-01,"London",205,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-04-01,"London",405,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-05-01,"London",335,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-06-01,"London",270,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-07-01,"London",445,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-08-01,"London",1875,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-09-01,"London",740,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-10-01,"London",325,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-11-01,"London",395,"student_permits_city_proxy_2015_2025_monthly.csv"
2017-12-01,"London",1045,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-01-01,"London",475,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-02-01,"London",185,"student_permits_city_proxy_2015_2025_monthly.csv"
2018-03-01,"London",245,"student_permits_city_proxy_2015_2025_monthly.csv"
