EN_YEAR,EN_QUARTER,EN_MONTH,TOTAL,EN_DLI_PROVINCE_TERRITORY,EN_ADMIN_TYPE,EN_DESIGNATED_LEARNING_INSTITUTION
2017,Q3,Aug,5,Ontario,Public Institution,Collège Boréal
2022,Q2,May,5,Ontario,Private Institution,Wilfrid Laurier International College
2017,Q4,Nov,--,Ontario,Private Institution,CDI College of Business Technology and Healthcare
2023,Q2,Apr,--,Ontario,Private Institution,Spectrum Airways
2023,Q4,Nov,--,Ontario,Private Institution,Academy of Learning Career and Business College - Etobicoke
2021,Q3,Jul,--,Ontario,Private Institution,Waterloo Wellington Flight Centre
2024,Q4,Oct,35,Ontario,Public Institution,Lakehead University
2024,Q1,Feb,60,Ontario,Public Institution,University of Windsor
2021,Q2,May,140,Ontario,Public Institution,St Lawrence College
2025,Q4,Nov,65,Ontario,Public Institution,Trent University
2016,Q1,Feb,215,Ontario,Public Institution,Centennial College
2020,Q4,Oct,85,Ontario,Public Institution,Western University
2018,Q3,Aug,35,Ontario,Private Institution,Yorkville University - Toronto Film School
2019,Q3,Jul,105,Ontario,Public Institution,University of Windsor
2021,Q4,Oct,940,Ontario,Public Institution,Conestoga College
2018,Q3,Aug,360,Ontario,Public Institution,Cambrian College of Applied Arts and Technology
2017,Q4,Oct,65,Ontario,Public Institution,Toronto Metropolitan University
2018,Q1,Mar,280,Ontario,Public Institution,Conestoga College
2018,Q3,Aug,55,Ontario,Private Institution,Huron University College
2015,Q3,Jul,60,Ontario,Public Institution,Wilfrid Laurier University
2016,Q3,Sep,20,Ontario,Public Institution,La Cité collégiale
2015,Q4,Nov,10,Ontario,Private Institution,IBT College
2015,Q3,Jul,145,Ontario,Public Institution,Mohawk College of Applied Arts and Technology
2017,Q2,Jun,15,Ontario,Public Institution,Algoma University
2024,Q3,Aug,20,Ontario,Private Institution,Université Saint-Paul St Paul University
2023,Q3,Jul,--,Ontario,Private Institution,Hansa Language Centre Inc
2021,Q1,Mar,--,Ontario,Private Institution,Algonquin Careers Academy
2016,Q1,Feb,--,Ontario,Private Institution,McMaster Divinity College
2018,Q3,Sep,--,Ontario,Private Institution,Brampton Flight Centre
2015,Q2,Jun,--,Ontario,Private Institution,Toronto Airways Inc
2016,Q3,Jul,--,Ontario,Private Institution,Toronto Institute of Pharmaceutical Technology
2017,Q2,May,--,Ontario,Private Institution,ILSC Toronto
2022,Q4,Nov,--,Ontario,Private Institution,Wycliffe College
2022,Q2,May,35,Ontario,Private Institution,Academy of Learning Career and Business College - Owen Sound
2021,Q1,Feb,470,Ontario,Public Institution,St Clair College
2016,Q4,Dec,580,Ontario,Public Institution,Niagara College Canada
2022,Q4,Dec,335,Ontario,Public Institution,Trent University
2019,Q2,Jun,85,Ontario,Public Institution,OCAD University
2024,Q1,Jan,25,Ontario,Public Institution,Nipissing University
2024,Q2,Apr,280,Ontario,Public Institution,University of Windsor
2016,Q1,Feb,120,Ontario,Public Institution,Niagara College Canada
2019,Q4,Nov,50,Ontario,Public Institution,Queen's University
2022,Q2,Apr,35,Ontario,Public Institution,Laurentian University
2023,Q2,Apr,15,Ontario,Private Institution,NewCastle College of Business and Technology
2024,Q3,Sep,--,Ontario,Private Institution,Wycliffe College
2024,Q3,Sep,--,Ontario,Private Institution,ABC Access Business College
2019,Q1,Mar,30,Ontario,Private Institution,Toronto School of Management
2016,Q3,Sep,5,Ontario,Private Institution,triOS College
2024,Q3,Jul,10,Ontario,Private Institution,IBT College
2017,Q3,Jul,5,Ontario,Private Institution,Central College of Business and Technology
2016,Q3,Aug,20,Ontario,Private Institution,Greystone College of Business and Technology Toronto Inc
2018,Q3,Aug,--,Ontario,Private Institution,Harris Institute for The Arts
2022,Q2,Apr,5,Ontario,Private Institution,Université Saint-Paul St Paul University
2015,Q4,Oct,10,Ontario,Public Institution,Durham College of Applied Arts and Technology
2021,Q4,Oct,--,Ontario,Private Institution,Academy of Learning Career and Business College - Brampton
2023,Q1,Mar,10,Ontario,Private Institution,Eastview College Business Health Technology
2016,Q4,Oct,105,Ontario,Public Institution,Conestoga College
2016,Q1,Jan,70,Ontario,Public Institution,Georgian College
2015,Q1,Mar,70,Ontario,Public Institution,University of Waterloo
2024,Q4,Oct,220,Ontario,Public Institution,The Algonquin College of Applied Learning and Technology
2025,Q1,Feb,185,Ontario,Private Institution,Niagara College Canada at Toronto school of Management
2024,Q4,Nov,10,Ontario,Private Institution,Atlantic Career College
2015,Q4,Dec,--,Ontario,Private Institution,EC Toronto
2017,Q2,May,200,Ontario,Public Institution,University of Windsor
2023,Q4,Dec,20,Ontario,Private Institution,Canadian Care Academy Inc
2017,Q1,Feb,--,Ontario,Private Institution,ILSC Toronto
2025,Q4,Nov,5,Ontario,Private Institution,Anderson College of Health Business and Technology
2022,Q2,May,--,Ontario,Private Institution,Canadian College for Higher Studies
2018,Q2,May,5,Ontario,Private Institution,Toronto International Business College
2023,Q3,Jul,10,Ontario,Private Institution,Canadian College for Higher Studies
2020,Q2,Apr,--,Ontario,Private Institution,CanNorth College of Health Business and Technology
2016,Q1,Mar,--,Ontario,Private Institution,Renison University College
2019,Q4,Oct,--,Ontario,Private Institution,Oxford College of Arts Business And Technology Inc
2017,Q3,Aug,--,Ontario,Private Institution,Emmanuel College of Victoria University
2016,Q1,Jan,10,Ontario,Public Institution,Sault College
2019,Q1,Feb,--,Ontario,Private Institution,Career College Group
2024,Q3,Aug,--,Ontario,Private Institution,CanNorth College of Health Business and Technology
2018,Q3,Sep,10,Ontario,Private Institution,Liaison College - Brampton
2018,Q1,Feb,--,Ontario,Private Institution,MLC College of Business Technology and Healthcare
2017,Q4,Dec,10,Ontario,Public Institution,Algoma University
2020,Q1,Jan,--,Ontario,Private Institution,A1-Global College of Health Business and Technology
2023,Q2,May,--,Ontario,Private Institution,Tyndale University
2018,Q4,Dec,--,Ontario,Private Institution,CANADIAN COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY
2017,Q3,Jul,--,Ontario,Private Institution,McMaster Divinity College
2022,Q2,May,5,Ontario,Private Institution,International Institute of Travel and Business
2015,Q3,Aug,--,Ontario,Private Institution,Pures College of Technology
2017,Q2,May,--,Ontario,Private Institution,triOS College
2017,Q2,May,5,Ontario,Private Institution,Anderson College Health Business and Technology
2018,Q4,Oct,--,Ontario,Public Institution,Royal Military College of Canada
2016,Q4,Dec,--,Ontario,Private Institution,BIZTECH INSTITUTE INC
2024,Q4,Oct,10,Ontario,Private Institution,Huron University College
2018,Q2,Jun,--,Ontario,Private Institution,Ontario School of Commerce and Technology
2020,Q3,Jul,--,Ontario,Private Institution,Pures College of Technology
2024,Q2,Apr,--,Ontario,Private Institution,Academy of Learning - Mississauga
2021,Q3,Jul,--,Ontario,Private Institution,Toronto College of Dental Hygiene and Auxiliaries Inc
2016,Q1,Jan,--,Ontario,Private Institution,EC Toronto
2022,Q2,Jun,--,Ontario,Private Institution,St George Internaional College
2015,Q2,Apr,--,Ontario,Private Institution,Greystone College of Business and Technology Toronto Inc
2018,Q4,Oct,--,Ontario,Private Institution,Huron University College
2016,Q3,Aug,--,Ontario,Private Institution,Le Cordon Bleu Ottawa Culinary Arts Institute
2023,Q2,Jun,--,Ontario,Private Institution,CLLC Inc
2025,Q4,Dec,--,Ontario,Private Institution,Cambrian College of Applied Arts and Technology at Hanson College of Business Health and Technology
2020,Q1,Mar,--,Ontario,Private Institution,Academy of Learning Career and Business College - Owen Sound
2017,Q2,Jun,--,Ontario,Private Institution,University of St Michael's college
2020,Q3,Aug,--,Ontario,Private Institution,Our Lady Seat of Wisdom College
2019,Q2,Jun,10,Ontario,Private Institution,Anderson College
2019,Q3,Jul,5,Ontario,Private Institution,Tamwood Careers and Tamwood Language Centres
2019,Q3,Jul,--,Ontario,Private Institution,London Language Institute
2015,Q4,Nov,--,Ontario,Private Institution,London Language Institute
2016,Q3,Aug,--,Ontario,Private Institution,Oxford College of Arts Business And Technology Inc
2024,Q2,Apr,--,Ontario,Private Institution,Sol Schools International
2019,Q4,Nov,--,Ontario,Private Institution,Tamwood Careers and Tamwood Language Centres
2015,Q4,Dec,--,Ontario,Private Institution,Canadian Business College
2022,Q3,Jul,--,Ontario,Private Institution,Harris Institute for The Arts
2015,Q2,Apr,--,Ontario,Public Institution,Loyalist College of Applied Arts and Technology
2024,Q3,Sep,160,Ontario,Private Institution,Yorkville University - Toronto Film School
2018,Q1,Mar,--,Ontario,Private Institution,Royal Crown College of Business and Technology
2025,Q2,May,60,Ontario,Private Institution,Niagara College Canada at Toronto school of Management
2019,Q2,Jun,50,Ontario,Public Institution,Wilfrid Laurier University
2021,Q3,Sep,825,Ontario,Public Institution,University of Windsor
2017,Q4,Nov,25,Ontario,Public Institution,Lakehead University
2016,Q2,Apr,115,Ontario,Public Institution,St Lawrence College
2015,Q1,Jan,--,Ontario,Public Institution,Collège Boréal
2021,Q4,Dec,--,Ontario,Private Institution,International Business University
2023,Q2,Jun,--,Ontario,Private Institution,Regis College
2024,Q3,Jul,--,Ontario,Private Institution,Toronto Airways Inc
2022,Q3,Sep,--,Ontario,Private Institution,Ontario Institute of Health and Innovation
2024,Q2,May,--,Ontario,Public Institution,Université de l'Ontario français
2024,Q3,Sep,--,Ontario,Private Institution,Institute for Christian Studies
2025,Q2,Apr,205,Ontario,Public Institution,The Algonquin College of Applied Learning and Technology
2017,Q2,Jun,220,Ontario,Public Institution,George Brown College
2022,Q3,Aug,280,Ontario,Public Institution,Brock University
2022,Q3,Aug,35,Ontario,Private Institution,Academy of Learning Career and Business College - Owen Sound
2020,Q3,Aug,540,Ontario,Public Institution,Université d'Ottawa University of Ottawa
2019,Q2,Jun,5,Ontario,Private Institution,International Institute of Travel and Business
2023,Q3,Sep,--,Ontario,Private Institution,GLOW College of Artistic Design
2022,Q2,Apr,--,Ontario,Private Institution,CCEC Canadian Career Education College Ltd
2021,Q2,Jun,--,Ontario,Private Institution,Canadian Montessori Teacher Education Institute
2017,Q4,Dec,--,Ontario,Private Institution,University of St Michael's college
2024,Q1,Feb,735,Ontario,Public Institution,Conestoga College
2023,Q3,Jul,1120,Ontario,Public Institution,Seneca College of Applied Arts and Technology
2023,Q3,Sep,285,Ontario,Public Institution,Mohawk College of Applied Arts and Technology
2021,Q1,Jan,85,Ontario,Public Institution,Brock University
2025,Q3,Sep,560,Ontario,Public Institution,Seneca College of Applied Arts and Technology
2016,Q4,Oct,85,Ontario,Public Institution,University of Windsor
2024,Q1,Feb,220,Ontario,Private Institution,Flair College of Management and Technology
2021,Q4,Nov,100,Ontario,Public Institution,Northern College
2025,Q3,Sep,550,Ontario,Public Institution,Université d'Ottawa University of Ottawa
2023,Q1,Feb,10,Ontario,Private Institution,NewCastle College of Business and Technology
2021,Q2,Apr,--,Ontario,Private Institution,Toronto Metropolitan University International College
2025,Q4,Dec,50,Ontario,Private Institution,Northeastern University - ON
2023,Q3,Aug,2095,Ontario,Public Institution,York University
2016,Q1,Feb,--,Ontario,Private Institution,Le Cordon Bleu Ottawa Culinary Arts Institute
2019,Q3,Jul,30,Ontario,Private Institution,Eastview College Business Health Technology
2016,Q1,Mar,5,Ontario,Public Institution,OCAD University
2018,Q1,Jan,--,Ontario,Private Institution,CRD College of Health Care
2022,Q4,Oct,15,Ontario,Public Institution,Loyalist College of Applied Arts and Technology
2016,Q2,Apr,--,Ontario,Private Institution,Alpha College of Business and Technology
2025,Q3,Jul,5,Ontario,Private Institution,triOS College
2020,Q2,May,--,Ontario,Private Institution,AIMS College Healthcare Management Technology
2020,Q3,Aug,10,Ontario,Private Institution,triOS College
2019,Q2,Apr,--,Ontario,Private Institution,CANADIAN COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY
2020,Q2,Jun,--,Ontario,Private Institution,Canadian College of Naturopathic Medicine
2015,Q3,Sep,--,Ontario,Private Institution,RAC Digital Arts College
2018,Q3,Sep,20,Ontario,Public Institution,Algoma University
2025,Q1,Feb,--,Ontario,Private Institution,Canadian College of Naturopathic Medicine
2015,Q1,Mar,--,Ontario,Private Institution,Brampton Flight Centre
2024,Q1,Feb,--,Ontario,Private Institution,Brampton Skin Care Academy Inc
2018,Q4,Oct,--,Ontario,Private Institution,Affirm College of Healthcare Culinary Arts Business and Technology
2016,Q4,Nov,--,Ontario,Private Institution,Huron University College
2017,Q3,Jul,--,Ontario,Private Institution,Ottawa School of Beauty Limited
2024,Q4,Oct,--,Ontario,Private Institution,Knox College
2025,Q2,Apr,60,Ontario,Public Institution,Queen's University
2015,Q2,May,95,Ontario,Public Institution,Fanshawe College
2025,Q1,Feb,35,Ontario,Private Institution,Yorkville University - Toronto Film School
2017,Q2,Apr,--,Ontario,Private Institution,Brescia University College
2025,Q4,Dec,--,Ontario,Private Institution,Academy of Learning College - Kingston
2018,Q1,Jan,--,Ontario,Private Institution,Sunview College Business Technology Healthcare
2021,Q1,Feb,--,Ontario,Private Institution,Brampton Flight Centre
2024,Q3,Jul,5,Ontario,Public Institution,Sheridan College at Canadian College of Technology and Trades
2017,Q3,Aug,5,Ontario,Private Institution,Academy of Learning College - Toronto
2023,Q3,Sep,--,Ontario,Private Institution,AIMS College Healthcare Management Technology
2017,Q1,Jan,--,Ontario,Private Institution,University of St Michael's college
2019,Q4,Oct,--,Ontario,Private Institution,Ottawa School of Art
2016,Q4,Nov,--,Ontario,Private Institution,Canadian Business College
2021,Q3,Aug,--,Ontario,Private Institution,Spectrum Airways
2015,Q3,Sep,--,Ontario,Private Institution,Renison University College
2022,Q3,Jul,--,Ontario,Private Institution,Brampton Flight Centre
2017,Q4,Oct,--,Ontario,Private Institution,Sprott Shaw Language College Ontario Corp
2021,Q3,Sep,--,Ontario,Private Institution,Epic College of Technology Inc
2019,Q4,Oct,--,Ontario,Private Institution,EF International Language Centers
2015,Q3,Jul,145,Ontario,Public Institution,Fanshawe College
2025,Q1,Mar,90,Ontario,Public Institution,St Lawrence College
2023,Q3,Sep,170,Ontario,Public Institution,Brock University
2018,Q3,Sep,240,Ontario,Public Institution,Western University
2015,Q1,Feb,10,Ontario,Public Institution,Trent University
2022,Q2,Jun,35,Ontario,Public Institution,Sault College of Applied Arts and Technology at Trios College
2017,Q3,Aug,25,Ontario,Private Institution,International Institute of Travel and Business
2023,Q2,May,5,Ontario,Private Institution,AIMS College Healthcare Management Technology
2023,Q1,Mar,295,Ontario,Public Institution,George Brown College
2017,Q1,Mar,25,Ontario,Public Institution,University of Guelph
2025,Q2,May,30,Ontario,Public Institution,Fleming College at Trebas Institute Ontario Inc
2024,Q2,May,30,Ontario,Private Institution,North American School of Information Technology Inc NASIT
2016,Q3,Sep,35,Ontario,Public Institution,Laurentian University
2022,Q4,Dec,60,Ontario,Private Institution,Beta College of Business and Technology
2016,Q2,Jun,--,Ontario,Private Institution,Academy of Learning College - Hamilton
2024,Q3,Jul,20,Ontario,Private Institution,CIMT College
2025,Q2,May,10,Ontario,Private Institution,NewCastle College of Business and Technology
2019,Q3,Sep,--,Ontario,Private Institution,Metalworks Institute of Sound and Music Production
2018,Q2,Apr,50,Ontario,Public Institution,University of Guelph
2019,Q1,Jan,5,Ontario,Private Institution,Canadian College for Higher Studies
2018,Q2,Apr,10,Ontario,Private Institution,Canada Christian College
2015,Q3,Aug,--,Ontario,Private Institution,Trillium College Inc
2015,Q2,May,--,Ontario,Private Institution,Greystone College of Business and Technology Toronto Inc
2015,Q1,Feb,--,Ontario,Public Institution,Confederation College of Applied Arts and Technology
2019,Q1,Feb,--,Ontario,Private Institution,KLC College
2021,Q2,Jun,--,Ontario,Private Institution,Toronto Economics and Management College
2018,Q1,Jan,--,Ontario,Private Institution,Academy of Applied Pharmaceutical Sciences
2020,Q3,Sep,--,Ontario,Private Institution,Brampton Flight Centre
2020,Q2,Apr,--,Ontario,Private Institution,North American Business College of Sciences and Language
2023,Q1,Jan,--,Ontario,Private Institution,CRD College of Health Care
2020,Q1,Feb,90,Ontario,Public Institution,Niagara College Canada
2017,Q3,Sep,50,Ontario,Public Institution,La Cité collégiale
2024,Q4,Dec,175,Ontario,Public Institution,Laurentian University
2021,Q1,Feb,35,Ontario,Public Institution,University of Guelph
2017,Q1,Feb,--,Ontario,Private Institution,Career College Group
2024,Q3,Jul,--,Ontario,Private Institution,GLOW College of Artistic Design
2022,Q1,Mar,--,Ontario,Private Institution,Academy of Learning Career and Business College - Owen Sound
2022,Q3,Aug,--,Ontario,Private Institution,Capital English Solutions and Mentora College of Business and Technology
2021,Q1,Mar,--,Ontario,Private Institution,CDI College of Business Technology and Healthcare
2024,Q3,Aug,--,Ontario,Private Institution,CCEC Canadian Career Education College Ltd
2024,Q4,Oct,--,Ontario,Private Institution,PEEL COLLEGE OF PROFESSIONAL STUDIES
2017,Q1,Mar,--,Ontario,Private Institution,English School of Canada Inc
2022,Q4,Dec,--,Ontario,Private Institution,Renison University College
2018,Q3,Sep,--,Ontario,Private Institution,National Institute of Hairstyling and Advanced Aesthetics
2023,Q1,Mar,--,Ontario,Private Institution,ILSC Toronto
2016,Q2,Jun,--,Ontario,Private Institution,Academy of Applied Pharmaceutical Sciences
2024,Q1,Jan,--,Ontario,Private Institution,CLLC Inc
2017,Q3,Aug,--,Ontario,Private Institution,Ontario College of Technology
2016,Q1,Feb,90,Ontario,Public Institution,The Algonquin College of Applied Learning and Technology
2018,Q4,Oct,120,Ontario,Public Institution,St Clair College
2025,Q3,Sep,165,Ontario,Public Institution,Georgian College
2025,Q1,Jan,875,Ontario,Public Institution,The Sheridan College Institute of Technology and Advanced Learning
2022,Q3,Jul,40,Ontario,Public Institution,Ontario Tech University
2016,Q2,May,95,Ontario,Public Institution,Canadore College of Applied Arts and Technology College Drive Campus North Bay ON
2015,Q3,Sep,65,Ontario,Public Institution,Fleming College
2019,Q3,Jul,--,Ontario,Private Institution,CDI College of Business Technology and Healthcare
2019,Q4,Nov,15,Ontario,Public Institution,University of Guelph
2017,Q3,Aug,--,Ontario,Private Institution,CDI College of Business Technology and Healthcare
2024,Q4,Nov,60,Ontario,Private Institution,University of Niagara Falls Canada
2015,Q1,Mar,--,Ontario,Private Institution,Aveda Institute Toronto
2021,Q3,Sep,--,Ontario,Private Institution,Academy of Learning Career and Business College - Brampton
2017,Q1,Jan,--,Ontario,Private Institution,CLLC Inc
2015,Q3,Sep,5,Ontario,Private Institution,Redeemer University
2015,Q1,Jan,--,Ontario,Private Institution,Canadian College of Massage and Hydrotherapy
2016,Q1,Feb,--,Ontario,Private Institution,Academy of Learning College - Toronto
2018,Q1,Jan,--,Ontario,Private Institution,Huron University College
2019,Q3,Aug,--,Ontario,Private Institution,CJ Health Care College
2023,Q3,Sep,--,Ontario,Private Institution,Max the Mutt College of Animation Art and Design
2016,Q3,Sep,--,Ontario,Private Institution,Central College of Business and Technology
2023,Q2,May,400,Ontario,Public Institution,York University
2017,Q3,Jul,25,Ontario,Public Institution,Laurentian University
2016,Q4,Nov,30,Ontario,Public Institution,Durham College of Applied Arts and Technology
2021,Q4,Oct,70,Ontario,Public Institution,University of Guelph
2024,Q1,Mar,50,Ontario,Public Institution,Lakehead University
2022,Q3,Jul,--,Ontario,Private Institution,Academy of Learning College - Hamilton
2024,Q3,Aug,5,Ontario,Private Institution,Canadian Business Skills College of Technology
2016,Q2,Jun,35,Ontario,Public Institution,Trent University
2016,Q1,Feb,10,Ontario,Private Institution,IBT College
2021,Q3,Aug,20,Ontario,Public Institution,Georgian College at ILAC International College
2024,Q2,May,55,Ontario,Public Institution,Lakehead University
2015,Q1,Mar,45,Ontario,Public Institution,Lambton College
2021,Q3,Jul,--,Ontario,Private Institution,Anderson College Health Business and Technology
2022,Q4,Oct,10,Ontario,Private Institution,CIMT College
2016,Q4,Dec,10,Ontario,Private Institution,Le Cordon Bleu Ottawa Culinary Arts Institute
2018,Q3,Jul,5,Ontario,Private Institution,Liaison College - Brampton
2018,Q1,Jan,5,Ontario,Private Institution,Toronto International Business College
2024,Q4,Dec,5,Ontario,Private Institution,Elite Royal International Career College
2019,Q3,Jul,--,Ontario,Private Institution,Oxford College of Arts Business And Technology Inc
2023,Q1,Jan,--,Ontario,Private Institution,Waterloo Wellington Flight Centre
2019,Q2,May,--,Ontario,Private Institution,University of Trinity College
2023,Q4,Dec,--,Ontario,Private Institution,Canada College of Education
2024,Q2,Apr,--,Ontario,Private Institution,Canadian College of Health Science and Technology
2015,Q1,Mar,25,Ontario,Public Institution,Cambrian College of Applied Arts and Technology
2017,Q2,Apr,5,Ontario,Private Institution,Dan Robert College of Health Care
2022,Q3,Aug,--,Ontario,Private Institution,Wycliffe College
2016,Q2,Apr,--,Ontario,Private Institution,Canadian College of Massage and Hydrotherapy
2022,Q1,Mar,--,Ontario,Private Institution,CANADIAN COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY
2023,Q3,Aug,--,Ontario,Private Institution,Academy of Learning College-Lawrence
2017,Q4,Dec,--,Ontario,Private Institution,Toronto Business College
2019,Q1,Jan,--,Ontario,Private Institution,Canadian Technology College Incorporated
2025,Q2,May,10,Ontario,Public Institution,OCAD University
2025,Q4,Dec,130,Ontario,Public Institution,Carleton University
2024,Q1,Feb,15,Ontario,Private Institution,Anderson College of Health Business and Technology
2025,Q2,May,5,Ontario,Public Institution,Sault College of Applied Arts and Technology at Trios College Business Technology Healthcare Inc
2021,Q3,Sep,15,Ontario,Private Institution,BITTS International Career College
2023,Q1,Jan,225,Ontario,Public Institution,University of Waterloo
2020,Q2,May,--,Ontario,Private Institution,Metalworks Institute of Sound and Music Production
2020,Q3,Jul,40,Ontario,Public Institution,Lambton College
2022,Q2,May,--,Ontario,Private Institution,Academy of Learning College-Lawrence
2022,Q3,Sep,1025,Ontario,Public Institution,Université d'Ottawa University of Ottawa
2020,Q2,Jun,60,Ontario,Public Institution,St Clair College
2022,Q3,Sep,515,Ontario,Public Institution,Carleton University
2019,Q3,Jul,100,Ontario,Private Institution,Yorkville University - Toronto Film School
2018,Q4,Oct,160,Ontario,Public Institution,Université d'Ottawa University of Ottawa
2022,Q4,Oct,195,Ontario,Public Institution,Canadore College of Applied Arts and Technology College Drive Campus North Bay ON
2024,Q2,Jun,10,Ontario,Private Institution,Toronto Metropolitan University International College
2016,Q4,Nov,--,Ontario,Private Institution,Sunview College Business Technology Healthcare
2018,Q1,Mar,20,Ontario,Public Institution,University of Guelph
2023,Q3,Jul,--,Ontario,Private Institution,Toronto Airways Inc
2020,Q1,Feb,--,Ontario,Public Institution,Loyalist College of Applied Arts and Technology
2022,Q2,Jun,--,Ontario,Private Institution,Academy of Learning College-Lawrence
2020,Q3,Aug,--,Ontario,Private Institution,London Language Institute
2025,Q4,Dec,--,Ontario,Private Institution,Ontario School of Commerce and Technology
2016,Q3,Jul,--,Ontario,Private Institution,Academy of Learning College - Toronto
2020,Q1,Feb,--,Ontario,Private Institution,Quest Language Studies
2020,Q4,Nov,--,Ontario,Private Institution,Université Saint-Paul St Paul University
2019,Q3,Aug,--,Ontario,Private Institution,TAHA College of Beauty Business Health Technology
2016,Q3,Aug,--,Ontario,Private Institution,Willis College of Business Technology Healthcare
2023,Q2,Jun,--,Ontario,Private Institution,Pharma-Medical Science College of Canada
2022,Q1,Mar,--,Ontario,Private Institution,Bryan College of Applied Health and Business Sciences
2025,Q1,Feb,310,Ontario,Public Institution,University of Toronto
2021,Q3,Sep,3130,Ontario,Public Institution,University of Toronto
2024,Q2,Apr,190,Ontario,Public Institution,Western University
2024,Q1,Feb,45,Ontario,Public Institution,University of Guelph
2019,Q2,May,5,Ontario,Private Institution,International Institute of Travel and Business
2021,Q2,May,50,Ontario,Public Institution,Durham College of Applied Arts and Technology
2019,Q2,May,25,Ontario,Private Institution,Eastview College Business Health Technology
2020,Q1,Mar,90,Ontario,Public Institution,Lambton College
2017,Q4,Dec,15,Ontario,Private Institution,Yorkville University - Toronto Film School
2016,Q2,Jun,70,Ontario,Public Institution,Lambton College
2023,Q4,Oct,10,Ontario,Private Institution,Academy of Learning Career and Business College - Owen Sound
2021,Q3,Jul,--,Ontario,Private Institution,Harris Institute for The Arts
2022,Q3,Aug,--,Ontario,Private Institution,Ace Acumen Academy
2016,Q3,Jul,5,Ontario,Private Institution,CDI College of Business Technology and Healthcare
2019,Q1,Jan,--,Ontario,Private Institution,Brampton Flight Centre
2020,Q3,Aug,200,Ontario,Public Institution,Queen's University
2022,Q1,Jan,10,Ontario,Private Institution,Anderson College of Health Business and Technology
2022,Q3,Jul,--,Ontario,Private Institution,University of St Michael's college
2015,Q2,Jun,30,Ontario,Public Institution,Trent University
2022,Q4,Dec,5,Ontario,Private Institution,Canadian Technical and Management College
2024,Q4,Oct,--,Ontario,Private Institution,Canada Christian College
2017,Q4,Oct,--,Ontario,Private Institution,Canadian College of Naturopathic Medicine
2016,Q3,Sep,--,Ontario,Private Institution,Our Lady Seat of Wisdom College
2024,Q4,Oct,10,Ontario,Private Institution,Anderson College
2021,Q2,Jun,--,Ontario,Private Institution,Brampton Flight Centre
2025,Q2,Jun,--,Ontario,Private Institution,Huron University College
2020,Q3,Sep,--,Ontario,Private Institution,CLI College of Business Health and Technology
2021,Q3,Jul,5,Ontario,Private Institution,Toronto Airways Inc
2018,Q3,Aug,475,Ontario,Public Institution,St Lawrence College
2019,Q4,Dec,705,Ontario,Public Institution,George Brown College
2017,Q4,Nov,105,Ontario,Public Institution,Mohawk College of Applied Arts and Technology
2016,Q3,Sep,175,Ontario,Public Institution,The Algonquin College of Applied Learning and Technology
2021,Q2,May,--,Ontario,Private Institution,Wycliffe College
2018,Q3,Aug,1150,Ontario,Public Institution,University of Waterloo
2023,Q1,Jan,35,Ontario,Public Institution,Loyalist College of Applied Arts and Technology
2022,Q1,Jan,155,Ontario,Public Institution,Western University
2024,Q3,Jul,140,Ontario,Public Institution,Brock University
2025,Q1,Mar,160,Ontario,Public Institution,University of Waterloo
2022,Q3,Sep,355,Ontario,Public Institution,Georgian College
2016,Q1,Mar,105,Ontario,Public Institution,Western University
2018,Q2,Jun,350,Ontario,Public Institution,George Brown College
2021,Q4,Dec,250,Ontario,Public Institution,Algoma University
2017,Q2,Apr,230,Ontario,Public Institution,Conestoga College
2022,Q3,Jul,90,Ontario,Private Institution,Yorkville University - Toronto Film School
2021,Q3,Sep,30,Ontario,Private Institution,EF International Language Centers
2019,Q1,Jan,10,Ontario,Private Institution,Academy of Learning College - Hamilton
2022,Q3,Sep,--,Ontario,Private Institution,Metalworks Institute of Sound and Music Production
2019,Q1,Jan,--,Ontario,Public Institution,Herzing College
2018,Q1,Mar,--,Ontario,Private Institution,BITTS International Career College
2018,Q3,Aug,--,Ontario,Private Institution,Canadian College for Higher Studies
2023,Q4,Oct,5,Ontario,Private Institution,Toronto Metropolitan University International College
2015,Q2,Apr,--,Ontario,Private Institution,Regis College
2017,Q1,Feb,--,Ontario,Private Institution,Upper Madison College of Advanced Language Learning and Skill Development
2019,Q4,Oct,--,Ontario,Private Institution,Dominion College Of Business Health And Technology Inc
2018,Q3,Aug,--,Ontario,Private Institution,Trillium College Inc
2022,Q4,Oct,--,Ontario,Private Institution,Futures Canadian College of Business Health and Technology
2020,Q3,Sep,1565,Ontario,Public Institution,University of Toronto
2019,Q1,Mar,185,Ontario,Public Institution,Université d'Ottawa University of Ottawa
2022,Q3,Aug,--,Ontario,Private Institution,Willis College of Business Technology Healthcare
2024,Q3,Jul,--,Ontario,Private Institution,Liaison College - Brampton
2024,Q1,Jan,--,Ontario,Private Institution,CMU College of Makeup Art and Design
2023,Q1,Mar,--,Ontario,Private Institution,Niagara University
2024,Q2,Jun,--,Ontario,Private Institution,ABC Access Business College
2025,Q2,May,5,Ontario,Private Institution,Tamwood Careers and Tamwood Language Centres
2015,Q2,Jun,--,Ontario,Private Institution,Toronto College of Dental Hygiene and Auxiliaries Inc
