EN_YEAR,EN_QUARTER,EN_MONTH,TOTAL,EN_DLI_PROVINCE_TERRITORY,EN_ADMIN_TYPE,EN_DESIGNATED_LEARNING_INSTITUTION
2016,Q4,Nov,--,Ontario,Private Institution,Academy of Applied Pharmaceutical Sciences
2020,Q1,Mar,--,Ontario,Private Institution,North American Business College of Sciences and Language
2019,Q4,Nov,--,Ontario,Private Institution,Anderson College of Health Business and Technology
2020,Q2,Apr,35,Ontario,Public Institution,Northern College
2017,Q4,Nov,--,Ontario,Private Institution,Trillium Esthetic and Hair Technology College
2023,Q3,Sep,10,Ontario,Public Institution,Université de Hearst
2018,Q1,Jan,60,Ontario,Public Institution,Durham College of Applied Arts and Technology
2016,Q2,Apr,35,Ontario,Public Institution,Toronto Metropolitan University
2015,Q2,Apr,--,Ontario,Private Institution,Sol Schools International
2025,Q2,Jun,--,Ontario,Public Institution,Loyalist College at Toronto Business College
2025,Q1,Mar,--,Ontario,Private Institution,Brampton Skin Care Academy Inc
2025,Q2,May,10,Ontario,Private Institution,Cambrian College of Applied Arts and Technology at Hanson College of Business Health and Technology
2017,Q2,May,--,Ontario,Private Institution,Regis College
2015,Q4,Oct,--,Ontario,Private Institution,Canadian Business Skills College of Technology
2025,Q2,Apr,--,Ontario,Private Institution,Mississauga Career College
2015,Q1,Jan,--,Ontario,Private Institution,Conrad Grebel University College
2022,Q2,Apr,--,Ontario,Private Institution,Osilla Institute for Health Personnel Ltd
2023,Q3,Aug,2145,Ontario,Public Institution,Cambrian College of Applied Arts and Technology
2023,Q3,Sep,125,Ontario,Private Institution,ILAC International College
2015,Q3,Aug,75,Ontario,Public Institution,Canadore College of Applied Arts and Technology College Drive Campus North Bay ON
2025,Q2,May,115,Ontario,Public Institution,La Cité collégiale
2019,Q4,Dec,15,Ontario,Private Institution,MLC College of Business Technology and Healthcare
2025,Q2,Apr,45,Ontario,Public Institution,La Cité collégiale
2015,Q3,Aug,155,Ontario,Public Institution,Cambrian College of Applied Arts and Technology
2015,Q3,Jul,205,Ontario,Public Institution,Brock University
2022,Q3,Sep,45,Ontario,Private Institution,Greystone College of Business and Technology Toronto Inc
2022,Q3,Aug,200,Ontario,Private Institution,ILAC International College
2019,Q1,Feb,--,Ontario,Private Institution,Willis College of Business Technology Healthcare
2020,Q2,May,--,Ontario,Private Institution,University of Trinity College
2021,Q1,Mar,--,Ontario,Private Institution,Canada Christian College
2021,Q1,Mar,--,Ontario,Private Institution,Pharma-Medical Science College of Canada
2023,Q4,Oct,--,Ontario,Public Institution,Université de l'Ontario français
2021,Q2,May,30,Ontario,Public Institution,Loyalist College at Toronto Business College
2017,Q1,Mar,--,Ontario,Private Institution,Willis College of Business Technology Healthcare
2021,Q1,Mar,140,Ontario,Public Institution,Carleton University
2016,Q1,Jan,--,Ontario,Private Institution,Royal Crown College of Business and Technology
2023,Q3,Aug,--,Ontario,Private Institution,Ontario College of Management and Technology
2019,Q4,Oct,--,Ontario,Private Institution,International Institute of Travel and Business
2016,Q2,Jun,--,Ontario,Private Institution,Academy of Learning Career and Business College - Etobicoke
2018,Q2,Jun,--,Ontario,Private Institution,Upper Madison College of Advanced Language Learning and Skill Development
2015,Q1,Jan,--,Ontario,Private Institution,Anderson College Health Business and Technology
2020,Q4,Dec,--,Ontario,Private Institution,CareerQuest Inc
2016,Q3,Jul,--,Ontario,Private Institution,Connect International School
2015,Q3,Aug,--,Ontario,Private Institution,Canadian Reformed Theological Seminary
2020,Q2,May,--,Ontario,Private Institution,MLC College of Business Technology and Healthcare
2023,Q4,Dec,5,Ontario,Private Institution,Tyndale University
2020,Q1,Jan,--,Ontario,Private Institution,Career College Group
2019,Q2,Jun,--,Ontario,Private Institution,Spectrum Airways
2021,Q4,Dec,5,Ontario,Private Institution,CIMT College
2016,Q3,Jul,--,Ontario,Private Institution,EC Toronto
2019,Q2,May,--,Ontario,Private Institution,CMU College of Makeup Art and Design
2020,Q1,Feb,--,Ontario,Private Institution,Academy of Learning College - Hamilton
2017,Q3,Sep,5,Ontario,Private Institution,Canadian Beauty College
2025,Q4,Dec,5,Ontario,Private Institution,CIMT College
2025,Q3,Aug,--,Ontario,Private Institution,Canadian Business Skills College of Technology
2016,Q2,Jun,5,Ontario,Private Institution,Canada Christian College
2017,Q1,Jan,--,Ontario,Private Institution,NetPLUS College of Information Technology
2018,Q3,Aug,--,Ontario,Private Institution,Academy of Learning College - Hamilton
2022,Q3,Aug,980,Ontario,Public Institution,University of Waterloo
2018,Q4,Nov,90,Ontario,Public Institution,Cambrian College of Applied Arts and Technology
2021,Q2,May,35,Ontario,Public Institution,Trent University
