Geography and institutions,2015 / 2016,2016 / 2017,2017 / 2018,2018 / 2019,2019 / 2020,2020 / 2021,2021 / 2022,2022 / 2023,2023 / 2024
"Queen's University, Ontario","2,373","2,676","3,099","3,594","4,035","3,645","4,149","4,185","3,981"
"Toronto Metropolitan University, Ontario","1,749","2,106","2,577","3,120","3,765","4,071","4,416","4,662","5,013"
"University of Toronto, Ontario","16,092","17,481","19,131","20,868","22,950","24,630","27,006","28,350","29,421"
"Trent University, Ontario",582,588,621,747,993,"1,071","1,320","1,677","2,796"
"University of Waterloo, Ontario","6,630","7,491","8,403","9,054","9,495","9,696","9,519","9,051","8,517"
"Western University, Ontario","4,212","4,476","4,755","5,406","6,042","6,123","6,207","6,141","5,970"
"Wilfrid Laurier University, Ontario","1,101","1,188","1,341","1,428","1,542","1,461","1,470","1,368","1,389"
"University of Windsor, Ontario","2,688","2,856","3,159","3,591","3,642","3,774","4,251","5,097","5,328"
"York University, Ontario","6,291","6,831","7,650","9,036","10,374","10,686","10,617","9,912","9,636"
"OCAD University, Ontario",462,528,618,759,984,"1,218","1,308","1,365","1,431"
"Ontario Tech University, Ontario",690,672,651,633,741,804,"1,080","1,245","1,290"
"Algoma University, Ontario 27",402,321,276,288,984,747,"1,716","2,664","5,997"
"Université de l'Ontario français, Ontario",..,..,..,..,..,..,18,81,120
"Université de Hearst, Ontario",..,..,..,..,..,..,195,207,270
"Collège Boréal d'arts appliqués et de technologie, Ontario",57,63,81,105,186,195,288,675,777
"La Cité collégiale d'arts appliqués et de technologie, Ontario",171,261,312,417,696,960,"1,344","1,644","2,796"
"Algonquin College of Applied Arts and Technology, Ontario","1,320","1,983","2,592","3,456","4,095","3,321","2,799","3,867","6,315"
"Cambrian College, Ontario","1,683","2,010","2,826","2,862","3,285","4,206","4,278","4,908","8,445"
"Centennial College of Applied Arts and Technology, Ontario","5,217","5,991","7,935","9,600","10,044","7,668","7,233","11,946","14,385"
"Conestoga College Institute of Technology and Advanced Learning, Ontario","1,668","2,181","3,183","6,282","9,900","8,295","11,769","15,435","29,808"
"Confederation College of Applied Arts and Technology, Ontario",360,384,426,618,729,531,585,948,"1,461"
"Durham College of Applied Arts and Technology, Ontario",504,609,"1,113","1,803","1,947","1,491","1,950","2,481","3,813"
"Fanshawe College of Applied Arts and Technology, Ontario","1,671","2,334","3,324","4,386","5,988","5,544","6,147","8,556","13,071"
"George Brown College of Applied Arts and Technology, Ontario","4,026","4,386","5,394","6,564","6,774","5,754","5,745","6,783","9,639"
"Georgian College of Applied Arts and Technology, Ontario","1,200","1,554","2,307","3,396","3,990","3,333","3,753","8,217","10,563"
"Loyalist College of Applied Arts and Technology, Ontario",180,204,387,774,"2,832","2,940","5,316","6,429","5,991"
"Mohawk College of Applied Arts and Technology, Ontario","1,323","1,974","2,814","3,138","3,537","3,036","2,316","4,053","7,011"
"Niagara College of Applied Arts and Technology, Ontario","1,731","1,806","2,589","3,825","3,465","2,286","3,597","8,775","13,449"
"Lambton College of Applied Arts and Technology, Ontario","1,269","2,835","6,132","7,872","6,513","6,903","10,140","11,850","11,901"
"Humber College Institute of Technology and Advanced Learning, Ontario","4,839","5,775","7,137","7,683","8,361","7,173","6,783","8,766","9,978"
"Northern College of Applied Arts and Technology, Ontario",48,267,63,"2,154","3,231","3,693","3,168","4,224","5,832"
"St. Clair College of Applied Arts and Technology, Ontario",654,828,"1,605","1,077","2,394","5,097","5,991","6,189","8,061"
"St. Lawrence College of Applied Arts and Technology, Ontario 28",744,"1,371","3,234","3,243","3,726","4,197","4,107","6,663","6,927"
"Sault College of Applied Arts and Technology, Ontario",36,63,105,240,669,699,"1,863","2,493","3,456"
"Seneca College of Applied Arts and Technology, Ontario","3,687","4,719","6,192","7,425","9,363","9,318","12,252","13,005","14,244"
"Sheridan College Institute of Technology and Advanced Learning, Ontario","4,227","4,854","5,694","6,267","6,879","5,838","4,704","6,246","10,572"
"Fleming College of Applied Arts and Technology, Ontario",417,510,945,"1,653","1,668","1,113","1,047","2,076","6,768"
"Canadore College of Applied Arts and Technology, Ontario",279,"1,227","1,656","1,773","1,866","4,692","5,610","5,058","6,300"
"Northern Ontario School of Medicine University, Ontario",..,..,..,..,..,..,..,..,0
"Kemptville College of Agricultural Technology, Ontario 29",..,..,..,..,..,..,..,..,..
"Ridgetown College, Ontario 30",..,..,..,..,..,..,..,..,..
"Collège d'Alfred, Ontario 31",..,..,..,..,..,..,..,..,..
"Brandon University, Manitoba",180,234,321,375,402,399,384,396,537
"Canadian Mennonite University, Manitoba 32",42,42,75,96,102,87,84,66,72
"Booth University College, Manitoba",9,12,57,57,45,33,48,36,51
"University of Manitoba, Manitoba","4,947","5,172","5,376","5,685","6,072","6,384","6,795","6,624","7,020"
"University of Winnipeg, Manitoba",597,708,732,912,"1,269","1,401","1,608","1,482","1,623"
"Providence University College and Theological Seminary, Manitoba 33",84,141,126,99,78,69,60,42,171
"Steinbach Bible College, Manitoba",6,3,3,6,15,15,15,9,12
"Assiniboine Community College, Manitoba 34",87,246,237,315,426,309,339,705,"1,791"
"Red River College Polytechnic, Manitoba 35","1,428","1,605","1,812","1,521","2,112","1,755","2,361","2,070","3,558"
"University College of the North, Manitoba 36",..,..,..,..,..,..,..,..,..
"Manitoba Institute of Trades and Technology, Manitoba",..,..,..,..,..,..,..,..,..
"L'École Technique et Professionnelle, Manitoba 37",135,144,96,63,99,87,90,96,105
"University of Regina, Saskatchewan","2,109","2,214","2,124","2,436","3,015","2,862","2,634","2,937","4,077"
"University of Saskatchewan, Saskatchewan","2,502","2,460","2,460","2,556","2,631","2,517","2,700","2,823","2,994"
"Saskatchewan Polytechnic, Saskatchewan",417,552,711,855,"1,251","1,059","1,638","2,355","3,513"
"Carlton Trail College, Saskatchewan",3,6,3,6,3,3,6,6,6
"Cumberland Regional College, Saskatchewan",..,..,..,..,..,..,..,..,..
"North West College, Saskatchewan",3,3,0,3,3,3,0,0,3
"Parkland College, Saskatchewan",3,3,3,3,3,3,3,3,3
"Southeast College, Saskatchewan",..,..,..,..,..,..,..,..,..
"Northlands College, Saskatchewan",0,0,3,0,3,3,0,3,0
"Great Plains College, Saskatchewan",0,0,0,0,0,0,0,0,3
"University of Alberta, Alberta","6,672","6,777","7,305","7,716","8,205","7,938","8,214","8,466","8,331"
"Athabasca University, Alberta",429,468,531,537,651,630,456,450,516
"University of Calgary, Alberta","3,351","3,492","3,708","4,203","4,860","5,031","6,168","6,915","7,113"
"Burman University, Alberta",57,63,63,84,93,90,69,60,72
"Concordia University of Edmonton, Alberta",147,168,156,255,453,546,444,453,495
"University of Lethbridge, Alberta",537,546,501,480,561,510,618,831,"1,332"
"The King's University, Alberta",51,57,63,63,87,84,78,84,96
"St. Mary's University, Alberta",6,6,18,12,15,12,15,12,6
"Ambrose University, Alberta",15,27,30,30,9,30,15,27,39
"Grant MacEwan University, Alberta","1,179","1,035","1,011",912,690,486,525,570,762
"Mount Royal University, Alberta",405,420,351,357,348,342,354,438,540
"Alberta University of the Arts, Alberta 38",..,..,..,87,90,87,78,102,99
"Alberta College of Art and Design, Alberta 38",69,66,81,..,..,..,..,..,..
"Bow Valley College, Alberta",579,714,"1,023","1,575","1,803","1,551","1,545","2,073","2,679"
"Olds College, Alberta",30,30,42,114,123,87,87,111,426
"Lakeland College, Alberta",39,72,138,264,255,174,132,141,204
"Northwestern Polytechnic, Alberta",57,45,51,90,186,147,99,135,300
"Lethbridge College, Alberta",198,234,231,444,615,501,432,645,"1,131"
"Medicine Hat College, Alberta",213,216,252,291,303,207,186,261,357
"Keyano College, Alberta",90,102,93,69,96,93,135,294,756
"Red Deer Polytechnic, Alberta",90,111,87,117,168,183,261,489,780
"Northern Alberta Institute of Technology, Alberta","1,326","1,422","1,338","1,416","1,743","1,827","1,725","2,037","2,460"
"Southern Alberta Institute of Technology, Alberta","1,719","1,839","1,245","1,596","2,031","1,917","2,058","3,123","5,169"
"NorQuest College, Alberta",204,366,477,942,"1,245","1,182","1,569","2,106","3,645"
"Northern Lakes College, Alberta",12,9,3,0,3,9,9,9,18
"Portage College, Alberta",9,15,9,6,6,0,39,189,93
"University of British Columbia, British Columbia 39","12,486","13,740","16,044","16,971","17,307","16,911","17,934","18,576","18,315"
"University of Northern British Columbia, British Columbia",300,294,309,339,390,390,423,498,699
"Royal Roads University, British Columbia",780,891,813,807,987,855,606,564,576
"Simon Fraser University, British Columbia","6,126","6,459","6,717","6,813","7,245","7,107","7,017","6,876","6,486"
"University of Victoria, British Columbia 40","5,925","5,919","6,003","3,651","3,891","3,636","3,507","3,231","2,955"
"Justice Institute of British Columbia, British Columbia",390,438,528,933,"1,092","1,266","1,554","2,640","3,333"
"British Columbia Institute of Technology, British Columbia","1,698","2,694","2,907","3,759","4,776","4,005","2,733","2,649","3,300"
"College of New Caledonia, British Columbia",366,513,690,"1,245","1,614","1,377",831,900,"1,476"
"Douglas College, British Columbia","2,385","2,517","3,045","3,696","4,149","3,525","3,483","3,759","4,065"
"Selkirk College, British Columbia",537,627,768,975,882,693,666,633,780
"Vancouver Community College, British Columbia",402,519,708,963,"1,209","1,203","1,533","2,019","3,147"
"Northern Lights College, British Columbia",372,435,444,516,537,522,534,621,741
"Camosun College, British Columbia","1,374","1,683","1,701","1,740","1,821","1,449","1,278","1,755","2,190"
"North Island College, British Columbia",267,273,285,447,486,339,273,366,630
"Coast Mountain College, British Columbia",12,24,93,282,372,282,342,426,567
"College of the Rockies, British Columbia",309,309,432,468,465,309,228,273,345
"Nicola Valley Institute of Technology, British Columbia",..,..,..,6,9,9,6,..,..
"Langara College, British Columbia","2,106","3,708","4,848","5,085","5,382","4,941","4,869","5,412","5,598"
"Thompson Rivers University, British Columbia","3,024","3,096","3,639","5,013","5,604","4,857","4,827","5,457","6,606"
"Capilano University, British Columbia",915,"1,077","1,311","1,890","2,700","2,370","1,863","2,238","4,137"
"Okanagan College, British Columbia",606,771,966,"1,518","1,794","1,401","1,227","1,479","2,223"
"Vancouver Island University, British Columbia","1,554","1,584","1,653","2,007","1,848","1,203","1,095","1,230","1,494"
"Emily Carr University of Art and Design, British Columbia",429,468,537,510,555,594,642,714,807
"Kwantlen Polytechnic University, British Columbia","1,524","1,974","3,072","4,638","3,522","3,690","5,124","6,279","6,180"
"University of the Fraser Valley, British Columbia","1,170","1,266","1,467","1,710","2,286","1,821","1,263","1,632","2,238"
"Yukon College, Yukon 41 42",48,69,66,81,87,..,..,..,..
"Yukon University, Yukon 41",..,..,..,..,..,123,75,12,12
"Aurora College, Northwest Territories 43",..,0,..,..,..,6,3,6,3
"Nunavut Arctic College, Nunavut",..,..,..,..,..,..,..,..,..
