date,city,study_permit_inflow_proxy
2018-07-01,Kitchener-Cambridge-Waterloo,840
2018-07-01,London,480
2018-07-01,Oshawa,135
2018-07-01,Ottawa,550
2018-07-01,Toronto,3410
2018-07-01,Windsor,100
2018-08-01,Guelph,310
2018-08-01,Hamilton,1310
2018-08-01,Kitchener-Cambridge-Waterloo,3000
2018-08-01,London,2220
2018-08-01,Oshawa,710
2018-08-01,Ottawa,2390
2018-08-01,Toronto,9210
2018-08-01,Windsor,525
2018-09-01,Guelph,110
2018-09-01,Hamilton,430
2018-09-01,Kitchener-Cambridge-Waterloo,1190
2018-09-01,London,620
2018-09-01,Oshawa,220
2018-09-01,Ottawa,1100
2018-09-01,Toronto,4535
2018-09-01,Windsor,320
2018-10-01,Guelph,45
2018-10-01,Hamilton,200
2018-10-01,Kitchener-Cambridge-Waterloo,375
2018-10-01,London,270
2018-10-01,Oshawa,35
2018-10-01,Ottawa,415
2018-10-01,Toronto,2185
2018-10-01,Windsor,95
2018-11-01,Guelph,35
2018-11-01,Hamilton,255
2018-11-01,Kitchener-Cambridge-Waterloo,690
2018-11-01,London,480
2018-11-01,Oshawa,95
2018-11-01,Ottawa,455
2018-11-01,Toronto,2755
2018-11-01,Windsor,120
2018-12-01,Guelph,50
2018-12-01,Hamilton,685
2018-12-01,Kitchener-Cambridge-Waterloo,1430
2018-12-01,London,1350
2018-12-01,Oshawa,315
2018-12-01,Ottawa,910
2018-12-01,Toronto,4975
2018-12-01,Windsor,525
2019-01-01,Guelph,65
2019-01-01,Hamilton,255
2019-01-01,Kitchener-Cambridge-Waterloo,510
2019-01-01,London,550
2019-01-01,Oshawa,65
2019-01-01,Ottawa,670
2019-01-01,Toronto,3175
2019-01-01,Windsor,105
2019-02-01,Guelph,35
2019-02-01,Hamilton,140
2019-02-01,Kitchener-Cambridge-Waterloo,510
2019-02-01,London,280
2019-02-01,Oshawa,40
2019-02-01,Ottawa,325
2019-02-01,Toronto,1680
2019-02-01,Windsor,70
2019-03-01,Guelph,40
2019-03-01,Hamilton,230
2019-03-01,Kitchener-Cambridge-Waterloo,540
2019-03-01,London,395
2019-03-01,Oshawa,40
2019-03-01,Ottawa,445
2019-03-01,Toronto,2565
2019-03-01,Windsor,55
2019-04-01,Guelph,40
2019-04-01,Hamilton,330
2019-04-01,Kitchener-Cambridge-Waterloo,1475
2019-04-01,London,890
2019-04-01,Oshawa,80
2019-04-01,Ottawa,665
2019-04-01,Toronto,3885
2019-04-01,Windsor,315
2019-05-01,Guelph,70
2019-05-01,Hamilton,390
2019-05-01,Kitchener-Cambridge-Waterloo,890
2019-05-01,London,535
2019-05-01,Oshawa,85
2019-05-01,Ottawa,640
2019-05-01,Toronto,3645
2019-05-01,Windsor,145
2019-06-01,Guelph,50
2019-06-01,Hamilton,385
2019-06-01,Kitchener-Cambridge-Waterloo,695
2019-06-01,London,390
2019-06-01,Oshawa,100
2019-06-01,Ottawa,610
2019-06-01,Toronto,3325
2019-06-01,Windsor,90
2019-07-01,Guelph,65
2019-07-01,Hamilton,655
2019-07-01,Kitchener-Cambridge-Waterloo,985
2019-07-01,London,625
2019-07-01,Oshawa,155
2019-07-01,Ottawa,860
2019-07-01,Toronto,4790
2019-07-01,Windsor,105
2019-08-01,Guelph,400
2019-08-01,Hamilton,1865
2019-08-01,Kitchener-Cambridge-Waterloo,4670
2019-08-01,London,3000
2019-08-01,Oshawa,670
2019-08-01,Ottawa,3130
2019-08-01,Toronto,13470
2019-08-01,Windsor,800
2019-09-01,Guelph,130
2019-09-01,Hamilton,485
2019-09-01,Kitchener-Cambridge-Waterloo,1060
2019-09-01,London,855
